time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,t_go,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
36.907023,72.418327,13.379571,-4.988203,-3.250409,-4.746556,0.021727,58.712596,-1.286768,0.149900,-3.537613,-3.533453,0.036859,20.720730,20.073578,5.138102,32.421772,-27.546676,0.423828,7.431797,-3.081154,-3.775323,-0.011797,-0.783714,0.093489,-0.016031,0.406325,0.875592,-0.052265,0,follow,,20.720730,1.246729,0.664923,0,,,
36.956691,72.234894,13.130077,-4.987246,-3.231011,-4.695732,0.018697,58.536104,-1.462951,0.150411,-3.538323,-3.532743,0.018486,20.664192,20.015327,5.137657,32.315151,-27.642554,0.287407,7.410560,-3.078461,-3.715422,-0.012754,0.053858,1.198030,-0.019131,0.316218,0.928313,-0.054099,0,follow,,20.664192,1.202907,0.617630,0,,,
37.007068,72.103951,12.953876,-4.986666,-3.219875,-4.657895,0.017097,58.358334,-1.640323,0.150000,-3.539137,-3.531928,-0.000000,20.695844,20.048257,5.136666,32.087426,-27.857718,0.150000,7.422971,-3.117579,-3.714293,-0.013334,-0.782371,0.022580,-0.011606,0.259058,0.954777,-0.038156,0,follow,,20.695844,1.170479,0.586203,0,,,
37.057027,71.894447,12.675235,-4.985796,-3.206379,-4.595895,0.014592,58.182579,-1.815589,0.148666,-3.540055,-3.531007,-0.018486,20.600049,19.949920,5.134463,32.032698,-27.898631,0.012109,7.386857,-3.093674,-3.631349,-0.014204,0.478108,1.658878,-0.017385,0.183334,0.975589,-0.040890,0,follow,,20.600049,1.116432,0.535223,0,,,
37.107068,71.763474,12.503003,-4.985320,-3.200164,-4.556575,0.013112,58.003911,-1.993653,0.146400,-3.541079,-3.529980,-0.036859,20.635240,19.986961,5.131719,31.797305,-28.118123,-0.126384,7.400741,-3.132421,-3.633666,-0.014680,-0.774933,-0.046336,-0.009537,0.147055,0.985146,-0.037150,0,follow,,20.635240,1.082874,0.506309,0,,,
37.156707,71.579926,12.264657,-4.984784,-3.194510,-4.501078,0.010982,57.828403,-2.168448,0.143264,-3.542207,-3.528848,-0.055004,20.584358,19.935368,5.128048,31.680391,-28.217841,-0.262769,7.381841,-3.128941,-3.583222,-0.015216,0.069591,1.008883,-0.010719,0.079125,0.995338,-0.032158,0,follow,,20.584358,1.034640,0.465855,0,,,
37.207085,71.448601,12.096446,-4.984466,-3.192211,-4.461042,0.009833,57.650479,-2.345524,0.139213,-3.543442,-3.527608,-0.072810,20.620639,19.973949,5.123679,31.442283,-28.436609,-0.399311,7.396254,-3.167078,-3.589013,-0.015534,-0.762732,-0.115833,-0.006361,0.043795,1.005322,-0.028233,0,follow,,20.620639,1.000746,0.439256,0,,,
37.257135,71.237930,11.830439,-4.984022,-3.191129,-4.397680,0.008012,57.472098,-2.522914,0.134287,-3.544782,-3.526261,-0.090168,20.535675,19.887606,5.118309,31.366697,-28.491917,-0.529749,7.364458,-3.141580,-3.516692,-0.015978,0.509958,1.446415,-0.008869,0.002285,0.986318,-0.027331,0,follow,,20.535675,0.945559,0.396479,0,,,
37.307389,71.105820,11.665974,-4.983591,-3.191940,-4.358555,0.006947,57.293967,-2.699904,0.128532,-3.546229,-3.524806,-0.106969,20.573758,19.928515,5.112122,31.123868,-28.711910,-0.660867,7.379698,-3.178776,-3.525727,-0.016409,-0.743929,-0.180700,-0.008631,-0.028918,0.978033,-0.026073,0,follow,,20.573758,0.913036,0.372634,0,,,
37.356907,70.920273,11.437822,-4.982903,-3.194678,-4.304941,0.005696,57.119436,-2.873158,0.122105,-3.547783,-3.523243,-0.123111,20.526284,19.881329,5.105008,30.999459,-28.812461,-0.784279,7.362338,-3.173074,-3.483932,-0.017097,0.114036,0.835907,-0.013752,-0.057086,0.943840,-0.017981,0,follow,,20.526284,0.867367,0.339627,0,,,
