measurement_stamp,receipt_stamp,processed_stamp,published_stamp,source,valid,observation_valid,truth_available,rejection_reason,rgb_raw_stamp,depth_raw_stamp,rgb_receipt_stamp,depth_receipt_stamp,rgb_mapped_stamp,depth_mapped_stamp,image_measurement_stamp,rgb_depth_acquisition_skew,pose_history_start_stamp,pose_history_end_stamp,position_source_stamp,position_mapped_stamp,attitude_source_stamp,attitude_mapped_stamp,position_history_start_stamp,position_history_end_stamp,attitude_history_start_stamp,attitude_history_end_stamp,image_clock_offset,image_clock_mapping_mode,image_clock_status,image_clock_reset_count,image_clock_anchor_sim_stamp,image_clock_anchor_system_stamp,image_clock_reference_age,image_clock_sync_quality,image_measurement_time_source,px4_clock_offset,px4_clock_reset_count,px4_clock_calibration_count,px4_clock_recalibration_count,px4_clock_status,approach_phase,distance_bin,motion_regime,confidence,red_pixel_count,valid_depth_ratio,target_range,view_angle,position_x,position_y,position_z,covariance_xx,covariance_yy,covariance_zz,truth_x,truth_y,truth_z,error_x,error_y,error_z,horizontal_error,position_3d_error,observation_age
1790082234.7731464,1790082234.7907104,1790082234.8998382,1790082234.8998854,front_rgbd_red_sphere,True,True,True,,40.352,40.352,1790082234.7907104,1790082234.7896,1790082234.7731464,1790082234.7731464,1790082234.7731464,0.0,1790082233.8106189,1790082234.806851,1790082234.806851,1790082234.806851,1790082234.8108509,1790082234.8108509,1790082233.806619,1790082234.806851,1790082233.8106189,1790082234.8108509,1790082194.4211464,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,2,40.352,1790082234.7731464,0.0021867752075195312,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,TERMINAL_APPROACH,MID,STRAIGHT,1.0,483,1.0,6.564515590667725,0.5886404514312744,58.19721348347678,-10.394385936533194,0.3622115422274597,0.021212511746259183,0.021212511746259183,0.021212511746259183,57.89109430386073,-9.583873339166523,0.04307270777953472,0.3061191796160472,-0.8105125973666709,0.319138834447925,0.8663946113745566,0.9233034269792618,0.017564058303833008
1790082234.9211395,1790082234.993774,1790082235.0994134,1790082235.0994558,front_rgbd_red_sphere,True,True,True,,40.5,40.552,1790082234.952563,1790082234.993774,1790082234.9211395,1790082234.973153,1790082234.9211395,0.0519999999999996,1790082234.010851,1790082235.0070848,1790082235.0070848,1790082235.0070848,1790082235.011085,1790082235.011085,1790082234.006851,1790082235.0070848,1790082234.010851,1790082235.011085,1790082194.4211395,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,2,40.552,1790082234.973153,0.0026226043701171875,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,TERMINAL_APPROACH,MID,STRAIGHT,1.0,478,1.0,6.492424488067627,0.5729117393493652,58.586326722726696,-10.756292450064638,0.455527320115003,0.021003036351307163,0.021003036351307163,0.021003036351307163,58.330635380738215,-9.980104242265478,0.04774671569883243,0.25569134198848076,-0.7761882077991604,0.4077806044161706,0.81721857314573,0.9133078438469475,0.07263445854187012
1790082235.1211407,1790082235.1907334,1790082235.3034647,1790082235.3035018,front_rgbd_red_sphere,True,True,True,,40.7,40.752,1790082235.1460345,1790082235.1907334,1790082235.1211407,1790082235.1731515,1790082235.1211407,0.0519999999999996,1790082234.210851,1790082235.207085,1790082235.207085,1790082235.207085,1790082235.2110848,1790082235.2110848,1790082234.206851,1790082235.207085,1790082234.210851,1790082235.2110848,1790082194.4211407,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,2,40.752,1790082235.1731515,0.0022771358489990234,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,TERMINAL_APPROACH,MID,STRAIGHT,1.0,458,1.0,6.311163902282715,0.515150249004364,59.184044490096355,-11.276089239447723,0.4712257159050122,0.020480941890729784,0.020480941890729784,0.020480941890729784,58.92815780047992,-10.51235232280814,0.04995907655356142,0.2558866896164318,-0.7637369166395835,0.4212666393514508,0.8054638885518048,0.908976158758556,0.06959271430969238
1790082235.2211456,1790082235.2383094,1790082235.3988888,1790082235.3989213,front_rgbd_red_sphere,True,True,True,,40.8,40.8,1790082235.2383094,1790082235.2372038,1790082235.2211456,1790082235.2211456,1790082235.2211456,0.0,1790082234.2908509,1790082235.3030849,1790082235.3030849,1790082235.3030849,1790082235.307085,1790082235.307085,1790082234.286851,1790082235.3030849,1790082234.2908509,1790082235.307085,1790082194.4211457,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,2,40.8,1790082235.2211456,0.002273082733154297,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,TERMINAL_APPROACH,MID,STRAIGHT,1.0,447,1.0,6.222876071929932,0.4775339663028717,59.50238022969287,-11.548220694726572,0.49705096019821854,0.020229020550553634,0.020229020550553634,0.020229020550553634,59.22835252046125,-10.77683646481467,0.04922549875503692,0.2740277092316177,-0.7713842299119023,0.44782546144318164,0.8186115168891203,0.9330983118087317,0.017163753509521484
1790082235.4732184,1790082235.4940832,1790082235.599806,1790082235.5998588,front_rgbd_red_sphere,True,True,True,,41.052,40.952,1790082235.4940832,1790082235.3932707,1790082235.4732184,1790082235.3731482,1790082235.4732184,0.10000000000000142,1790082234.490851,1790082235.503085,1790082235.503085,1790082235.503085,1790082235.5070848,1790082235.5070848,1790082234.486851,1790082235.503085,1790082234.490851,1790082235.5070848,1790082194.4212184,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,2,40.952,1790082235.3731482,0.0022706985473632812,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,TERMINAL_APPROACH,MID,STRAIGHT,1.0,475,1.0,6.05230712890625,0.449923574924469,60.42204239680653,-12.325831190507714,0.5761821542957399,0.019746733453437703,0.019746733453437703,0.019746733453437703,59.98939255908079,-11.438084780322287,0.04211248830121423,0.43264983772574084,-0.8877464101854269,0.5340696659945257,0.9875624389785297,1.1227243557600086,0.02086472511291504
1790082235.6211557,1790082235.6397839,1790082235.7993438,1790082235.7993803,front_rgbd_red_sphere,True,True,True,,41.2,41.2,1790082235.6397839,1790082235.6390572,1790082235.6211557,1790082235.6211557,1790082235.6211557,0.0,1790082234.690851,1790082235.703085,1790082235.703085,1790082235.703085,1790082235.707085,1790082235.707085,1790082234.686851,1790082235.703085,1790082234.690851,1790082235.707085,1790082194.4211557,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,2,41.2,1790082235.6211557,0.0027899742126464844,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,TERMINAL_APPROACH,MID,STRAIGHT,1.0,504,1.0,5.668331146240234,0.4313601553440094,60.8340474161445,-12.622970176749893,0.48840976598735614,0.01868232824288708,0.01868232824288708,0.01868232824288708,60.43943501444216,-11.822553143701395,0.03478767185302613,0.39461240170233935,-0.8004170330484985,0.45362209413433,0.8924048265061376,1.0010791070930731,0.01862812042236328
1790082235.7731452,1790082235.7957158,1790082235.9004898,1790082235.900539,front_rgbd_red_sphere,True,True,True,,41.352,41.352,1790082235.7957158,1790082235.7935607,1790082235.7731452,1790082235.7731452,1790082235.7731452,0.0,1790082234.806851,1790082235.807085,1790082235.807085,1790082235.807085,1790082235.807085,1790082235.807085,1790082234.806851,1790082235.807085,1790082234.7908509,1790082235.807085,1790082194.4211452,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,2,41.352,1790082235.7731452,0.006177425384521484,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,TERMINAL_APPROACH,MID,STRAIGHT,1.0,529,1.0,5.388936519622803,0.3973011076450348,61.405447506637124,-13.078742210290423,0.39196974318678196,0.017926361940616704,0.017926361940616704,0.017926361940616704,60.90417414997892,-12.214165132062476,0.025322319043399714,0.5012733566582028,-0.8645770782279474,0.36664742414338225,0.9993840614561331,1.0645181238116772,0.02257061004638672
1790082235.973152,1790082235.9937344,1790082236.099414,1790082236.099452,front_rgbd_red_sphere,True,True,True,,41.552,41.552,1790082235.9937344,1790082235.9915705,1790082235.973152,1790082235.973152,1790082235.973152,0.0,1790082235.0070848,1790082236.0073159,1790082236.0073159,1790082236.0073159,1790082236.0073159,1790082236.0073159,1790082235.0070848,1790082236.0073159,1790082234.995085,1790082236.0073159,1790082194.4211519,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,2,41.552,1790082235.973152,0.002282381057739258,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,TERMINAL_APPROACH,MID,STRAIGHT,1.0,652,1.0,5.001326084136963,0.43764829635620117,62.01919357408566,-13.543819892879917,0.48189433146260635,0.016903448125235775,0.016903448125235775,0.016903448125235775,61.52048175023433,-12.72461686231127,0.01076876856807546,0.4987118238513304,-0.8192030305686462,0.4711255628945309,0.9590657373412809,1.068534690384296,0.02058243751525879
1790082236.121146,1790082236.1579754,1790082236.301003,1790082236.3010552,front_rgbd_red_sphere,True,True,True,,41.7,41.7,1790082236.1579754,1790082236.1530402,1790082236.121146,1790082236.121146,1790082236.121146,0.0,1790082235.171085,1790082236.183316,1790082236.183316,1790082236.183316,1790082236.183316,1790082236.183316,1790082235.167085,1790082236.183316,1790082235.171085,1790082236.183316,1790082194.421146,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,2,41.7,1790082236.121146,0.0012137889862060547,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,TERMINAL_APPROACH,NEAR,STRAIGHT,1.0,727,1.0,4.685154438018799,0.4228948652744293,62.50905729941744,-13.914455815296755,0.48948762700811527,0.01609131381458079,0.01609131381458079,0.01609131381458079,61.97563988154466,-13.094777629531698,-0.0006576063785379936,0.5334174178727835,-0.8196781857650564,0.4901452333866533,0.9779603621359927,1.0939144480812102,0.036829471588134766
1790082236.3303478,1790082236.353874,1790082236.4998193,1790082236.4998631,front_rgbd_red_sphere,True,True,True,,41.9,41.9,1790082236.353874,1790082236.3530428,1790082236.3303478,1790082236.3303478,1790082236.3303478,0.0,1790082235.383085,1790082236.3833158,1790082236.3833158,1790082236.3833158,1790082236.3833158,1790082236.3833158,1790082235.383085,1790082236.3833158,1790082235.367085,1790082236.3833158,1790082194.4303477,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,2,41.9,1790082236.3303478,0.00110626220703125,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,TERMINAL_APPROACH,NEAR,STRAIGHT,1.0,826,1.0,4.228599548339844,0.36958327889442444,63.16984595876756,-14.410956950851459,0.5728124578326366,0.014953864754687914,0.014953864754687914,0.014953864754687914,62.63421848296475,-13.619566618543567,-0.016844536130611876,0.5356274758028121,-0.7913903323078912,0.5896569939632484,0.9556126050368353,1.1228939493269439,0.02352619171142578
1790082236.4303532,1790082236.4473383,1790082236.6001847,1790082236.6002321,front_rgbd_red_sphere,True,True,True,,42.0,42.0,1790082236.4473383,1790082236.445216,1790082236.4303532,1790082236.4303532,1790082236.4303532,0.0,1790082235.467085,1790082236.479316,1790082236.479316,1790082236.479316,1790082236.483316,1790082236.483316,1790082235.463085,1790082236.479316,1790082235.467085,1790082236.483316,1790082194.4303532,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,2,42.0,1790082236.4303532,0.0011830329895019531,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,TERMINAL_APPROACH,NEAR,STRAIGHT,1.0,895,1.0,3.9823648929595947,0.3400894105434418,63.525734659247476,-14.673123228138826,0.5130461773763804,0.014357706999221209,0.014357706999221209,0.014357706999221209,62.94936797741795,-13.865975774694883,-0.023994951521410245,0.5763666818295263,-0.8071474534439425,0.5370411288977907,0.9918092374666712,1.127873546835829,0.016985177993774414
1790082236.6303492,1790082236.6515515,1790082236.7991626,1790082236.7991939,front_rgbd_red_sphere,True,True,True,,42.2,42.2,1790082236.6515515,1790082236.6502864,1790082236.6303492,1790082236.6303492,1790082236.6303492,0.0,1790082235.667085,1790082236.6793158,1790082236.6793158,1790082236.6793158,1790082236.683316,1790082236.683316,1790082235.663085,1790082236.6793158,1790082235.667085,1790082236.683316,1790082194.430349,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,2,42.2,1790082236.6303492,0.0011074542999267578,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,TERMINAL_APPROACH,NEAR,STRAIGHT,1.0,1124,1.0,3.509603261947632,0.3168668746948242,64.1860488685459,-15.161183762955403,0.48997831910071105,0.013247096512535169,0.013247096512535169,0.013247096512535169,63.5842213444631,-14.352677900533555,-0.03636175656863186,0.6018275240827933,-0.808505862421848,0.5263400756693429,1.0079077826438891,1.1370628714234454,0.02120232582092285
1790082236.7823465,1790082236.8462508,1790082236.903112,1790082236.9031525,front_rgbd_red_sphere,True,True,True,,42.352,42.4,1790082236.808021,1790082236.8462508,1790082236.7823465,1790082236.8303576,1790082236.7823465,0.04800000000000182,1790082235.7830849,1790082236.783316,1790082236.783316,1790082236.783316,1790082236.783316,1790082236.783316,1790082235.7830849,1790082236.783316,1790082235.7670848,1790082236.783316,1790082194.4303465,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,2,42.4,1790082236.8303576,0.001110076904296875,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,TERMINAL_APPROACH,NEAR,STRAIGHT,1.0,1353,1.0,3.0530316829681396,0.2827926278114319,64.59653110630872,-15.439530659747687,0.48796434921666126,0.012216950960426234,0.012216950960426234,0.012216950960426234,64.07101081224104,-14.716728610243544,-0.043432646035773126,0.5255202940676753,-0.7228020495041427,0.5313969952524344,0.8936522714369192,1.0397101272987972,0.0639042854309082
1790082236.882343,1790082236.9568794,1790082237.0996387,1790082237.0996819,front_rgbd_red_sphere,True,True,True,,42.452,42.5,1790082236.9104521,1790082236.9568794,1790082236.882343,1790082236.930344,1790082236.882343,0.04800000000000182,1790082235.983085,1790082236.983316,1790082236.983316,1790082236.983316,1790082236.983316,1790082236.983316,1790082235.983085,1790082236.983316,1790082235.967085,1790082236.983316,1790082194.4303432,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,2,42.5,1790082236.930344,0.0010807514190673828,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,TERMINAL_APPROACH,NEAR,STRAIGHT,1.0,1530,1.0,2.8102827072143555,0.2577551603317261,64.95857739866955,-15.7007337095461,0.38249320260508873,0.01168622101996774,0.01168622101996774,0.01168622101996774,64.39363844448219,-14.953456612056574,-0.04676218871236084,0.5649389541873546,-0.7472770974895262,0.42925539131744955,0.9367919098661521,1.0304558570680111,0.07453632354736328
1790082236.982348,1790082237.047545,1790082237.199505,1790082237.1995506,front_rgbd_red_sphere,True,True,True,,42.552,42.6,1790082237.00009,1790082237.047545,1790082236.982348,1790082237.0303621,1790082236.982348,0.04800000000000182,1790082236.0833158,1790082237.0795789,1790082237.0795789,1790082237.0795789,1790082237.0835788,1790082237.0835788,1790082236.079316,1790082237.0795789,1790082236.0833158,1790082237.0835788,1790082194.430348,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,2,42.6,1790082237.0303621,0.0011522769927978516,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,TERMINAL_APPROACH,NEAR,STRAIGHT,1.0,1786,1.0,2.5913407802581787,0.2512342929840088,65.26322623463034,-15.90788189665639,0.4491579343841348,0.011217649890209505,0.011217649890209505,0.011217649890209505,64.7177979274183,-15.18753754565155,-0.04893803216965565,0.5454283072120347,-0.7203443510048402,0.49809596655379046,0.9035419316959065,1.0317400904442575,0.06519699096679688
1790082237.0823443,1790082237.2040784,1790082237.3003008,1790082237.30037,front_rgbd_red_sphere,True,True,True,,42.652,42.752,1790082237.1063297,1790082237.2040784,1790082237.0823443,1790082237.182367,1790082237.0823443,0.10000000000000142,1790082236.183316,1790082237.183579,1790082237.183579,1790082237.183579,1790082237.183579,1790082237.183579,1790082236.183316,1790082237.183579,1790082236.183316,1790082237.183579,1790082194.4303443,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,2,42.752,1790082237.182367,0.0051691532135009766,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,TERMINAL_APPROACH,NEAR,STRAIGHT,1.0,2087,1.0,2.251783609390259,0.22712786495685577,65.55671171884818,-16.081858290135695,0.29641767974246763,0.010509906619005476,0.010509906619005476,0.010509906619005476,65.04411669652012,-15.419247151875151,-0.049907203699850314,0.5125950223280569,-0.6626111382605444,0.34632488344231793,0.8377393254840287,0.9065032279886104,0.1217341423034668
