time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,prediction_model,estimated_turn_rate,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,intercept_vx,intercept_vy,intercept_vz,intercept_ax,intercept_ay,intercept_az,t_go,guidance_altitude_reference,guidance_closing_speed,trajectory_plan_feasible,planned_closing_speed,planned_max_horizontal_speed,planned_max_vertical_speed,planned_max_horizontal_acceleration,planned_max_vertical_acceleration,uav_yaw,observation_yaw,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
0.547186,-0.070031,0.003797,-0.032317,-0.004645,0.011593,-0.007272,90.666976,-19.689458,-0.059115,4.854717,1.196546,0.209938,CTRV,0.558149,92.849498,92.849495,-0.026798,97.279236,-12.883905,0.360762,1.056207,4.887170,0.209938,-2.727767,0.589520,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133409,-0.213715,0.000000,0.000000,-0.557441,0.000000,0.000000,-1.000000,0.017311,0.020259,0.002010,0,takeoff,,92.849498,5.006466,-4.497414,0,,,
0.597755,-0.069135,0.005053,-0.032400,-0.003895,0.012303,-0.007146,90.910968,-19.618737,-0.047912,4.817227,1.339524,0.217684,CTRV,0.568221,93.072404,93.072403,-0.015512,97.236131,-12.570148,0.387456,0.812072,4.933613,0.217684,-2.803382,0.461436,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133392,-0.212427,0.000000,0.000000,-0.607441,0.000000,0.000000,-1.000000,0.018210,0.016433,0.002261,0,takeoff,,93.072404,5.005525,-4.432867,0,,,
0.647243,-0.067706,0.006772,-0.032628,-0.002812,0.013055,-0.006954,91.146884,-19.542635,-0.036677,4.775233,1.482277,0.224087,CTRV,0.574533,93.286016,93.286016,-0.004050,97.206263,-12.279442,0.411498,0.602286,4.963593,0.224087,-2.851749,0.346034,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133363,-0.211116,0.000000,0.000000,-0.657441,0.000000,0.000000,-1.000000,0.018098,0.013063,0.005541,0,takeoff,,93.286016,5.004169,-4.364042,0,,,
0.697409,-0.066868,0.007704,-0.032771,-0.002269,0.013319,-0.006982,91.383708,-19.458350,-0.025061,4.728808,1.624307,0.229109,CTRV,0.580880,93.499386,93.499385,0.007710,97.168768,-11.989769,0.433157,0.390461,4.984731,0.229109,-2.895529,0.226811,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133340,-0.209719,0.000000,0.000000,-0.707441,0.000000,0.000000,-1.000000,0.013990,0.005289,-0.000930,0,takeoff,,93.499386,5.003410,-4.292028,0,,,
0.746962,-0.065768,0.008838,-0.032896,-0.001520,0.013624,-0.006869,91.615216,-19.368067,-0.013423,4.678073,1.765117,0.232719,CTRV,0.584869,93.706285,93.706283,0.019473,97.139244,-11.713639,0.452014,0.201235,4.995949,0.232719,-2.921975,0.117696,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133316,-0.208279,0.000000,0.000000,-0.757441,0.000000,0.000000,-1.000000,0.011364,0.001994,0.002449,0,takeoff,,93.706285,5.002371,-4.216322,0,,,
0.797344,-0.065006,0.009465,-0.032859,-0.001190,0.013670,-0.006626,91.846518,-19.269806,-0.001571,4.623196,1.904222,0.234893,CTRV,0.588569,93.911764,93.911758,0.031289,97.106323,-11.439883,0.468215,0.014749,4.999978,0.234893,-2.942830,0.008681,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133274,-0.206751,0.000000,0.000000,-0.807441,0.000000,0.000000,-1.000000,0.004711,0.002616,0.008601,0,takeoff,,93.911764,5.001746,-4.137857,0,,,
0.847510,-0.063822,0.010325,-0.032631,-0.000540,0.013734,-0.006193,92.072935,-19.165560,0.010195,4.564390,2.041162,0.235619,CTRV,0.589411,94.111097,94.111087,0.042826,97.089473,-11.179480,0.481434,-0.142692,4.997963,0.235619,-2.945854,-0.084104,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133243,-0.205184,0.000000,0.000000,-0.857441,0.000000,0.000000,-1.000000,0.010232,0.004048,0.003233,0,takeoff,,94.111097,5.000752,-4.056168,0,,,
0.897361,-0.063074,0.010849,-0.032401,-0.000203,0.013690,-0.005932,92.298420,-19.053534,0.022017,4.501908,2.175505,0.234893,CTRV,0.589387,94.308532,94.308517,0.054418,97.076353,-10.922401,0.491803,-0.290474,4.991555,0.234893,-2.941957,-0.171202,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133214,-0.203541,0.000000,0.000000,-0.907441,0.000000,0.000000,-1.000000,0.009942,-0.002202,0.006872,0,takeoff,,94.308532,5.000044,-3.972293,0,,,
0.947048,-0.062060,0.011553,-0.032015,0.000279,0.013776,-0.005691,92.516529,-18.937102,0.033490,4.436036,2.306856,0.232719,CTRV,0.588994,94.497888,94.497865,0.065505,97.057063,-10.670206,0.498927,-0.433119,4.981205,0.232719,-2.933902,-0.255105,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133212,-0.201878,0.000000,0.000000,-0.957441,0.000000,0.000000,-1.000000,0.008658,0.001942,0.001110,0,takeoff,,94.497888,4.999099,-3.886022,0,,,
0.997517,-0.061396,0.012093,-0.031681,0.000624,0.014039,-0.005368,92.734455,-18.812556,0.044933,4.367085,2.434864,0.229109,CTRV,0.587985,94.686024,94.685993,0.076614,97.042044,-10.419775,0.503151,-0.567744,4.967662,0.229109,-2.920911,-0.333825,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133199,-0.200134,0.000000,0.000000,-1.007441,0.000000,0.000000,-1.000000,0.006793,0.009338,0.010384,0,takeoff,,94.686024,4.998136,-3.798198,0,,,
