measurement_stamp,receipt_stamp,processed_stamp,published_stamp,source,valid,observation_valid,truth_available,rejection_reason,rgb_raw_stamp,depth_raw_stamp,rgb_receipt_stamp,depth_receipt_stamp,rgb_mapped_stamp,depth_mapped_stamp,rgb_depth_acquisition_skew,pose_history_start_stamp,pose_history_end_stamp,position_source_stamp,position_mapped_stamp,attitude_source_stamp,attitude_mapped_stamp,position_history_start_stamp,position_history_end_stamp,attitude_history_start_stamp,attitude_history_end_stamp,image_clock_offset,px4_clock_offset,px4_clock_reset_count,px4_clock_status,approach_phase,distance_bin,motion_regime,confidence,red_pixel_count,valid_depth_ratio,target_range,view_angle,position_x,position_y,position_z,covariance_xx,covariance_yy,covariance_zz,truth_x,truth_y,truth_z,error_x,error_y,error_z,horizontal_error,position_3d_error,observation_age
1790064239.2706163,1790064239.2790635,1790064239.3244617,1790064239.3244617,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,40.752,40.752,1790064239.2790635,1790064239.2783558,1790064239.2706163,1790064239.2706163,0.0,1790064225.64948,1790064226.6694803,1790064239.2808268,1790064226.6694803,1790064239.284827,1790064226.6694803,1790064225.6454802,1790064226.6694803,1790064225.64948,1790064226.6694803,1790064198.5186162,0.5069212913513184,1,OFFSET_OUTLIER,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,48.1311472934627,-0.131146153017292,0.045712589488039905,nan,nan,nan,nan,nan,0.00844717025756836
1790064239.4446163,1790064239.4787674,1790064239.5245879,1790064239.5245879,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,40.952,40.9,1790064239.4787674,1790064239.4257605,1790064239.470616,1790064239.4186163,0.0519999999999996,1790064225.64948,1790064226.6694803,1790064239.4808269,1790064226.6694803,1790064239.4848268,1790064226.6694803,1790064225.6454802,1790064226.6694803,1790064225.64948,1790064226.6694803,1790064198.5186162,0.5069212913513184,1,OFFSET_OUTLIER,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,48.62333117784298,-0.6232536214098717,0.038576203604947186,nan,nan,nan,nan,nan,0.03415107727050781
1790064239.6446161,1790064239.680541,1790064239.724565,1790064239.724565,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,41.152,41.1,1790064239.680541,1790064239.6272185,1790064239.6706161,1790064239.618616,0.0519999999999996,1790064225.64948,1790064226.6694803,1790064239.6809778,1790064226.6694803,1790064239.684978,1790064226.6694803,1790064225.6454802,1790064226.6694803,1790064225.64948,1790064226.6694803,1790064198.5186162,0.5069212913513184,1,OFFSET_OUTLIER,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,49.18936770348844,-1.1888383103616216,0.026866756940645116,nan,nan,nan,nan,nan,0.03592491149902344
1790064239.8706162,1790064239.87919,1790064239.9248066,1790064239.9248066,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,41.352,41.352,1790064239.87919,1790064239.8777452,1790064239.8706162,1790064239.8706162,0.0,1790064225.64948,1790064226.6694803,1790064239.8809779,1790064226.6694803,1790064239.8849778,1790064226.6694803,1790064225.6454802,1790064226.6694803,1790064225.64948,1790064226.6694803,1790064198.5186162,0.5069212913513184,1,OFFSET_OUTLIER,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,49.82915020694004,-1.8272296506056318,0.010545136730848448,nan,nan,nan,nan,nan,0.008573770523071289
1790064239.970616,1790064239.9835377,1790064240.024667,1790064240.024667,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,41.452,41.452,1790064239.9835377,1790064239.9823744,1790064239.970616,1790064239.970616,0.0,1790064225.64948,1790064226.6694803,1790064239.984978,1790064226.6694803,1790064239.984978,1790064226.6694803,1790064225.6454802,1790064226.6694803,1790064225.64948,1790064226.6694803,1790064198.5186162,0.5069212913513184,1,OFFSET_OUTLIER,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,50.112538722937295,-2.10958228099095,0.0027738549548136,nan,nan,nan,nan,nan,0.012921571731567383
1790064240.2446163,1790064240.2770014,1790064240.3246744,1790064240.3246744,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,41.7,41.752,1790064240.222735,1790064240.2770014,1790064240.2186162,1790064240.2706163,0.0519999999999996,1790064225.64948,1790064226.6694803,1790064240.280978,1790064226.6694803,1790064240.284978,1790064226.6694803,1790064225.6454802,1790064226.6694803,1790064225.64948,1790064226.6694803,1790064198.5186162,0.5069212913513184,1,OFFSET_OUTLIER,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,50.88969278214933,-2.882133998415417,-0.018294389668521198,nan,nan,nan,nan,nan,0.03238511085510254
1790064240.2946162,1790064240.327198,1790064240.4246883,1790064240.4246883,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,41.752,41.8,1790064240.2777069,1790064240.327198,1790064240.2706163,1790064240.3186162,0.047999999999994714,1790064225.64948,1790064226.6694803,1790064240.3849778,1790064226.6694803,1790064240.3849778,1790064226.6694803,1790064225.6454802,1790064226.6694803,1790064225.64948,1790064226.6694803,1790064198.5186162,0.5069212913513184,1,OFFSET_OUTLIER,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,51.03193839544146,-3.023207051411723,-0.021892718468156,nan,nan,nan,nan,nan,0.03258180618286133
1790064240.4446163,1790064240.4788327,1790064240.5248828,1790064240.5248828,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,41.9,41.952,1790064240.4276397,1790064240.4788327,1790064240.4186163,1790064240.470616,0.0519999999999996,1790064225.64948,1790064226.6694803,1790064240.480978,1790064226.6694803,1790064240.484978,1790064226.6694803,1790064225.6454802,1790064226.6694803,1790064225.64948,1790064226.6694803,1790064198.5186162,0.5069212913513184,1,OFFSET_OUTLIER,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,51.457980194818845,-3.4450246232158594,-0.03176930878406974,nan,nan,nan,nan,nan,0.03421640396118164
1790064240.6446161,1790064240.678918,1790064240.7244816,1790064240.7244816,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,42.1,42.152,1790064240.622597,1790064240.678918,1790064240.618616,1790064240.6706161,0.0519999999999996,1790064225.64948,1790064226.6694803,1790064240.685134,1790064226.6694803,1790064240.685134,1790064226.6694803,1790064225.6454802,1790064226.6694803,1790064225.64948,1790064226.6694803,1790064198.5186162,0.5069212913513184,1,OFFSET_OUTLIER,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,52.027749109646585,-4.007266064984108,-0.042140542382190574,nan,nan,nan,nan,nan,0.0343017578125
1790064240.7446163,1790064240.787968,1790064240.8246746,1790064240.8246746,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,42.2,42.252,1790064240.7311728,1790064240.787968,1790064240.7186162,1790064240.7706163,0.0519999999999996,1790064225.64948,1790064226.6694803,1790064240.781134,1790064226.6694803,1790064240.7851338,1790064226.6694803,1790064225.6454802,1790064226.6694803,1790064225.64948,1790064226.6694803,1790064198.5186162,0.5069212913513184,1,OFFSET_OUTLIER,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,52.311887524883225,-4.2867493612592975,-0.04581392956528881,nan,nan,nan,nan,nan,0.04335165023803711
