time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,prediction_model,estimated_turn_rate,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,intercept_vx,intercept_vy,intercept_vz,intercept_ax,intercept_ay,intercept_az,t_go,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
9.541407,13.261292,10.155298,-4.457322,6.531866,1.807514,-0.359395,50.637041,9.102830,0.091592,3.691332,-3.372546,-0.179166,CTRV,-0.041351,37.666257,37.390564,4.548914,57.732535,2.060317,-0.266741,3.400117,-3.665952,-0.179166,-0.151591,-0.140598,0.000000,2.000000,7.363070,0.646619,-0.359395,0.254042,-2.487059,0.000000,0.987232,-2.330907,0.300989,0,takeoff,,37.666257,5.910510,2.652119,0,,,
9.591458,13.675950,10.253302,-4.477915,6.593165,1.657451,-0.341785,50.821059,8.933986,0.081980,3.685077,-3.379380,-0.190620,CTRV,-0.040269,37.447194,37.168531,4.559895,57.911228,1.885904,-0.299260,3.401259,-3.664892,-0.190620,-0.147581,-0.136965,0.000000,2.000000,7.373869,0.522086,-0.341785,0.215990,-2.490652,0.000000,0.942628,-2.351095,0.268299,0,takeoff,,37.447194,5.818032,2.688768,0,,,
9.641423,13.936907,10.309942,-4.490288,6.629516,1.563126,-0.331443,51.005143,8.764471,0.071843,3.678975,-3.386022,-0.200899,CTRV,-0.039176,37.379883,37.100440,4.562131,58.090404,1.711249,-0.329954,3.402661,-3.663591,-0.200899,-0.143523,-0.133301,0.000000,2.000000,7.382670,0.397397,-0.331443,0.176023,-2.493795,0.000000,0.901858,-2.356286,0.255128,0,takeoff,,37.379883,5.763402,2.705386,0,,,
9.691447,14.304699,10.383434,-4.507164,6.678260,1.430325,-0.318082,51.188816,8.594740,0.061270,3.673023,-3.392477,-0.209938,CTRV,-0.038211,37.208979,36.927463,4.568433,58.268581,1.535826,-0.358607,3.403296,-3.663001,-0.209938,-0.139966,-0.130043,0.000000,2.000000,7.389510,0.272584,-0.318082,0.136781,-2.496255,0.000000,0.854313,-2.379864,0.220396,0,takeoff,,37.208979,5.683535,2.733882,0,,,
9.741495,14.569086,10.431551,-4.518889,6.711482,1.334806,-0.308517,51.371888,8.424985,0.050336,3.667221,-3.398749,-0.217684,CTRV,-0.037195,37.139606,36.857462,4.569225,58.446847,1.361073,-0.385032,3.404475,-3.661905,-0.217684,-0.136206,-0.126631,0.000000,2.000000,7.394288,0.147675,-0.308517,0.095565,-2.498173,0.000000,0.819981,-2.385519,0.249382,0,takeoff,,37.139606,5.628704,2.749736,0,,,
9.791453,14.994950,10.501115,-4.537197,6.761957,1.181344,-0.294301,51.555032,8.254599,0.039072,3.661565,-3.404841,-0.224087,CTRV,-0.036209,36.913800,36.629038,4.576269,58.625295,1.185817,-0.409103,3.405608,-3.660851,-0.224087,-0.132557,-0.123315,0.000000,2.000000,7.397061,0.022706,-0.294301,0.055459,-2.499385,0.000000,0.774821,-2.406274,0.213166,0,takeoff,,36.913800,5.536286,2.782871,0,,,
9.841448,15.262765,10.539591,-4.548405,6.791878,1.084612,-0.285855,51.737978,8.083846,0.027561,3.656053,-3.410758,-0.229109,CTRV,-0.035260,36.843064,36.557788,4.575966,58.803598,1.010262,-0.430657,3.406637,-3.659894,-0.229109,-0.129049,-0.120119,0.000000,2.000000,7.397625,-0.102293,-0.285855,0.011287,-2.499975,0.000000,0.742575,-2.418598,0.210167,0,takeoff,,36.843064,5.481329,2.797832,0,,,
9.891435,15.639850,10.587166,-4.563747,6.831507,0.948698,-0.274223,51.920358,7.913087,0.015900,3.650685,-3.416504,-0.232719,CTRV,-0.034298,36.666049,36.378922,4.579647,58.981736,0.835112,-0.449537,3.407924,-3.658695,-0.232719,-0.125486,-0.116885,0.000000,2.000000,7.395971,-0.227282,-0.274223,-0.033071,-2.499781,0.000000,0.693977,-2.432048,0.207556,0,takeoff,,36.666049,5.401327,2.823835,0,,,
9.941463,15.910787,10.616536,-4.574401,6.858427,0.851056,-0.265733,52.102421,7.742104,0.004144,3.645458,-3.422081,-0.234893,CTRV,-0.033358,36.593166,36.305602,4.578545,59.159705,0.659897,-0.465642,3.409209,-3.657499,-0.234893,-0.122007,-0.113725,0.000000,2.000000,7.392325,-0.336949,-0.265733,-0.072935,-2.193345,0.000000,0.661761,-2.440985,0.218911,0,takeoff,,36.593166,5.346384,2.838196,0,,,
9.991558,16.347099,10.655632,-4.590894,6.899034,0.694175,-0.253020,52.283360,7.571673,-0.007581,3.640369,-3.427493,-0.235619,CTRV,-0.032394,36.358388,36.068347,4.583313,59.337021,0.485709,-0.478820,3.410825,-3.655992,-0.235619,-0.118433,-0.110491,0.000000,2.000000,7.388643,-0.409824,-0.253020,-0.073637,-1.457506,0.000000,0.621021,-2.451410,0.195593,0,takeoff,,36.358388,5.254270,2.869033,0,,,
10.041391,16.621429,10.675210,-4.600842,6.922994,0.595989,-0.244841,52.466012,7.399133,-0.019386,3.635419,-3.432744,-0.234893,CTRV,-0.031568,36.284384,35.993983,4.581456,59.515360,0.308753,-0.489172,3.411588,-3.655280,-0.234893,-0.115391,-0.107698,0.000000,2.000000,7.383991,-0.486495,-0.244841,-0.093038,-1.533402,0.000000,0.591040,-2.453116,0.206534,0,takeoff,,36.284384,5.199898,2.882721,0,,,
10.091464,17.007339,10.696339,-4.614252,6.954389,0.458711,-0.232188,52.648408,7.226350,-0.031069,3.630603,-3.437836,-0.232719,CTRV,-0.030677,36.101691,35.809587,4.583183,59.694198,0.132306,-0.496507,3.412977,-3.653983,-0.232719,-0.112095,-0.104701,0.000000,2.000000,7.379085,-0.555972,-0.232188,-0.098121,-1.389559,0.000000,0.545800,-2.448890,0.235535,0,takeoff,,36.101691,5.121584,2.906920,0,,,
10.141420,17.284246,10.706835,-4.623425,6.975414,0.361120,-0.222620,52.828767,7.055033,-0.042446,3.625922,-3.442773,-0.229109,CTRV,-0.029815,36.024075,35.731619,4.580979,59.871084,-0.042582,-0.500665,3.414308,-3.652739,-0.229109,-0.108906,-0.101797,0.000000,2.000000,7.373327,-0.627734,-0.222620,-0.115161,-1.435238,0.000000,0.518024,-2.433965,0.240782,0,takeoff,,36.024075,5.068406,2.920123,0,,,
10.191435,17.729370,10.716002,-4.637359,7.006545,0.206540,-0.207819,53.010153,6.882287,-0.053641,3.621374,-3.447557,-0.224087,CTRV,-0.028973,35.783257,35.488463,4.583718,60.049128,-0.218758,-0.501815,3.415632,-3.651501,-0.224087,-0.105797,-0.098963,0.000000,2.000000,7.367820,-0.689364,-0.207819,-0.110130,-1.232592,0.000000,0.468075,-2.404024,0.230553,0,takeoff,,35.783257,4.981172,2.948230,0,,,
10.241419,18.008766,10.716937,-4.645597,7.024490,0.111327,-0.198654,53.190530,6.710063,-0.064456,3.616956,-3.452192,-0.217684,CTRV,-0.028119,35.704319,35.409201,4.581142,60.226535,-0.394040,-0.499824,3.417195,-3.650039,-0.217684,-0.102636,-0.096089,0.000000,2.000000,7.361236,-0.756441,-0.198654,-0.131686,-1.341546,0.000000,0.439624,-2.370794,0.230558,0,takeoff,,35.704319,4.930548,2.960192,0,,,
