time,uav_x,uav_y,uav_z,uav_vx,uav_vy,target_x,target_y,target_vx,target_vy,distance,intercept_x,intercept_y,t_go,uav_vz,target_z,target_vz,horizontal_distance,vertical_error,intercept_z,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
40.166690,19.964230,181.419724,-4.702160,0.021499,5.837119,20.000000,201.364309,0.000000,5.000000,20.505819,20.000000,238.298749,7.386888,0.767492,0.062379,0.217684,19.944618,4.764539,1.670386,0.004842,7.699998,0.862684,-0.002852,0.000002,-0.173679,-0.057840,2.907932,0.595763,0,intercept,0.750000,20.505819,1.001758,0.941993,0,,,
40.216748,19.965012,181.659256,-4.668156,0.019259,5.955716,20.000000,201.615596,0.000000,5.000000,20.511822,20.000000,238.571802,7.391241,0.789141,0.072952,0.209938,19.956371,4.741108,1.624658,0.004734,7.699999,0.851388,-0.002173,0.000001,-0.225910,-0.055849,2.980173,0.510257,0,intercept,0.800000,20.505819,1.117694,1.063744,0,,,
40.266914,19.965929,182.053726,-4.612738,0.015662,6.148406,20.000000,201.865244,0.000000,5.000000,20.360437,20.000000,238.553258,7.337603,0.815655,0.083005,0.200899,19.811547,4.695743,1.557119,0.004643,7.699999,0.840855,-0.001809,0.000001,-0.210669,-0.056099,3.021439,0.359351,0,intercept,0.850000,20.360437,1.302692,1.259253,0,,,
40.317537,19.966339,182.307205,-4.577672,0.013479,6.267984,20.000000,202.116486,0.000000,5.000000,20.352402,20.000000,238.800357,7.336774,0.827728,0.092609,0.190620,19.809309,4.670281,1.491146,0.004588,7.699999,0.827178,-0.001107,0.000001,-0.273534,-0.052454,2.979060,0.285906,0,intercept,0.900000,20.352402,1.419110,1.380367,0,,,
40.366502,19.966568,182.671295,-4.528240,0.010364,6.431910,20.000000,202.363649,0.000000,5.000000,20.229293,20.000000,238.830988,7.293468,0.838912,0.101490,0.179166,19.692382,4.629729,1.408234,0.004584,7.699999,0.813944,-0.000083,0.000000,-0.264679,-0.052881,2.891243,0.140347,0,intercept,0.950000,20.229293,1.576623,1.544912,0,,,
40.416627,19.966515,182.937469,-4.492877,0.008237,6.544863,20.000000,202.614390,0.000000,5.000000,20.208109,20.000000,239.053150,7.287752,0.842526,0.109878,0.166608,19.676949,4.602754,1.324076,0.004595,7.699999,0.798182,0.000218,-0.000000,-0.315238,-0.055498,2.793521,0.059847,0,intercept,1.000000,20.208109,1.686279,1.658221,0,,,
40.466746,19.965763,183.373489,-4.436642,0.004917,6.716293,20.000000,202.864208,0.000000,5.000000,20.015743,20.000000,238.958150,7.218788,0.841641,0.117556,0.153023,19.490748,4.554198,1.222194,0.004743,7.699999,0.783904,0.002960,-0.000002,-0.285565,-0.052546,2.616386,-0.056838,0,intercept,1.050000,20.015743,1.849292,1.827964,0,,,
40.518428,19.964798,183.651596,-4.401884,0.002564,6.816390,20.000000,203.118708,0.000000,5.000000,19.986473,20.000000,239.168935,7.210045,0.837564,0.124641,0.138494,19.467144,4.526524,1.123186,0.004882,7.699998,0.766302,0.002792,-0.000002,-0.352043,-0.056478,2.469798,-0.117508,0,intercept,1.100000,19.986473,1.946273,1.927519,0,,,
40.566523,19.962795,184.047195,-4.353935,-0.000863,6.946144,20.000000,203.364189,0.000000,5.000000,19.830775,20.000000,239.136423,7.154447,0.828517,0.130708,0.123111,19.317030,4.484643,1.011497,0.005200,7.699998,0.749944,0.006357,-0.000004,-0.327158,-0.061611,2.238184,-0.195406,0,intercept,1.150000,19.830775,2.070042,2.055246,0,,,
40.616603,19.961058,184.333740,-4.320304,-0.003134,7.031468,20.000000,203.615044,0.000000,5.000000,19.789640,20.000000,239.321188,7.141229,0.819587,0.136112,0.106969,19.281343,4.456416,0.900002,0.005453,7.699998,0.731010,0.005059,-0.000003,-0.378685,-0.055390,2.086192,-0.239726,0,intercept,1.200000,19.789640,2.152835,2.139754,0,,,
40.666501,19.957718,184.798355,-4.267787,-0.006874,7.155092,20.000000,203.862599,0.000000,5.000000,19.567350,20.000000,239.166786,7.060837,0.801918,0.140612,0.090168,19.064291,4.408399,0.777272,0.005988,7.699998,0.714513,0.010702,-0.000008,-0.329934,-0.054939,1.855175,-0.303743,0,intercept,1.250000,19.567350,2.269594,2.260019,0,,,
40.716623,19.955212,185.092178,-4.235960,-0.009022,7.224329,20.000000,204.115503,0.000000,5.000000,19.521166,20.000000,239.343916,7.045683,0.789132,0.144340,0.072810,19.023377,4.380300,0.657340,0.006357,7.699997,0.694510,0.007372,-0.000006,-0.400050,-0.052846,1.701295,-0.329815,0,intercept,1.300000,19.521166,2.336844,2.328316,0,,,
40.766542,19.951305,185.507187,-4.192518,-0.012179,7.311040,20.000000,204.363283,0.000000,5.000000,19.349084,20.000000,239.282022,6.983748,0.770648,0.147102,0.055004,18.856159,4.339619,0.531238,0.006973,7.699997,0.676393,0.012314,-0.000011,-0.362353,-0.054135,1.475990,-0.350669,0,intercept,1.350000,19.349084,2.419339,2.412633,0,,,
