time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,prediction_model,estimated_turn_rate,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,intercept_vx,intercept_vy,intercept_vz,intercept_ax,intercept_ay,intercept_az,t_go,trajectory_plan_feasible,planned_closing_speed,planned_max_horizontal_speed,planned_max_vertical_speed,planned_max_horizontal_acceleration,planned_max_vertical_acceleration,uav_yaw,observation_yaw,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
26.552160,0.027827,-0.016798,0.072083,-0.004919,-0.001868,0.004596,98.454066,10.587455,-0.112288,-1.508997,4.766857,-0.166608,CTRV,0.179700,98.996004,98.995832,-0.184371,93.805780,19.380728,-0.445505,-3.089147,3.931561,-0.166608,-0.706501,-0.555119,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.667915,0.107338,-0.004919,-0.001868,0.004596,0.000000,0.000000,0.000000,0.002819,0.005207,0.007765,0,takeoff,,98.996004,5.003229,0.984286,0,,,
26.601989,0.028104,-0.015923,0.073491,-0.004789,-0.001568,0.004988,98.375518,10.825500,-0.119796,-1.555167,4.751995,-0.153023,CTRV,0.183529,98.943355,98.943167,-0.193287,93.609798,19.553053,-0.425842,-3.156925,3.877348,-0.153023,-0.711605,-0.579387,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.667914,0.109804,-0.004789,-0.001568,0.004988,0.000000,0.000000,0.000000,0.000565,0.001046,0.003117,0,takeoff,,98.943355,5.002500,1.019874,0,,,
26.651932,0.028255,-0.015304,0.074448,-0.004842,-0.001240,0.005178,98.294777,11.062227,-0.126547,-1.602180,4.736351,-0.138494,CTRV,0.187221,98.889137,98.888933,-0.200994,93.411906,19.722170,-0.403534,-3.223506,3.822173,-0.138494,-0.715592,-0.603509,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.667939,0.112266,-0.004842,-0.001240,0.005178,0.000000,0.000000,0.000000,-0.002684,0.010585,0.008295,0,takeoff,,98.889137,5.001690,1.056286,0,,,
26.702188,0.028471,-0.014353,0.075860,-0.005074,-0.000722,0.005667,98.211521,11.298417,-0.132524,-1.650069,4.719881,-0.123111,CTRV,0.191035,98.832857,98.832637,-0.208384,93.209594,19.887372,-0.378746,-3.290862,3.764336,-0.123111,-0.719121,-0.628671,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.667946,0.114729,-0.005074,-0.000722,0.005667,0.000000,0.000000,0.000000,-0.002054,0.004745,0.007257,0,takeoff,,98.832857,5.000667,1.093570,0,,,
26.752203,0.028626,-0.013758,0.076520,-0.005075,-0.000428,0.005795,98.126151,11.532793,-0.137660,-1.698865,4.702538,-0.106969,CTRV,0.194879,98.774962,98.774730,-0.214180,93.004033,20.047743,-0.351598,-3.358247,3.704346,-0.106969,-0.721898,-0.654451,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.667933,0.117180,-0.005075,-0.000428,0.005795,0.000000,0.000000,0.000000,-0.000185,0.009322,0.003484,0,takeoff,,98.774962,4.999952,1.132164,0,,,
26.802155,0.028921,-0.012914,0.077278,-0.005140,-0.000055,0.005860,98.037923,11.767213,-0.141970,-1.748601,4.684271,-0.090168,CTRV,0.199329,98.714660,98.714416,-0.219248,92.789804,20.201657,-0.322305,-3.429828,3.638170,-0.090168,-0.725192,-0.683663,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.667945,0.119634,-0.005140,-0.000055,0.005860,0.000000,0.000000,0.000000,0.005162,0.006905,-0.002617,0,takeoff,,98.714660,4.999179,1.171780,0,,,
26.852103,0.029117,-0.012443,0.077716,-0.005073,0.000030,0.005954,97.946815,12.001473,-0.145414,-1.799310,4.665028,-0.072810,CTRV,0.203954,98.652215,98.651963,-0.223130,92.570498,20.351102,-0.291035,-3.502252,3.568505,-0.072810,-0.727812,-0.714299,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.667938,0.122095,-0.005073,0.000030,0.005954,0.000000,0.000000,0.000000,0.003715,0.001258,0.002607,0,takeoff,,98.652215,4.998769,1.212594,0,,,
26.902168,0.029361,-0.011906,0.078391,-0.004989,0.000279,0.006023,97.854115,12.232157,-0.147922,-1.851027,4.644750,-0.055004,CTRV,0.208341,98.588289,98.588030,-0.226313,92.350718,20.494971,-0.257930,-3.572511,3.498166,-0.055004,-0.728812,-0.744301,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.667948,0.124531,-0.004989,0.000279,0.006023,0.000000,0.000000,0.000000,0.000902,0.007354,-0.004286,0,takeoff,,98.588289,4.998268,1.254787,0,,,
26.952525,0.029475,-0.011699,0.078785,-0.004939,0.000316,0.006175,97.758356,12.462807,-0.149536,-1.903785,4.623376,-0.036859,CTRV,0.213158,98.522077,98.521812,-0.228321,92.123728,20.632604,-0.223254,-3.645244,3.422308,-0.036859,-0.729493,-0.777014,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.667949,0.126968,-0.004939,0.000316,0.006175,0.000000,0.000000,0.000000,0.000695,0.002084,0.005046,0,takeoff,,98.522077,4.998014,1.298104,0,,,
27.001875,0.029643,-0.011565,0.079309,-0.004905,0.000247,0.005985,97.659755,12.692643,-0.150231,-1.957617,4.600841,-0.018486,CTRV,0.218293,98.453483,98.453216,-0.229540,91.890764,20.763604,-0.187204,-3.719448,3.341513,-0.018486,-0.729427,-0.811928,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.667944,0.129408,-0.004905,0.000247,0.005985,0.000000,0.000000,0.000000,-0.001412,-0.001271,-0.007301,0,takeoff,,98.453483,4.997914,1.342675,0,,,
