measurement_stamp,receipt_stamp,processed_stamp,published_stamp,source,valid,observation_valid,truth_available,rejection_reason,rgb_raw_stamp,depth_raw_stamp,rgb_receipt_stamp,depth_receipt_stamp,rgb_mapped_stamp,depth_mapped_stamp,rgb_depth_acquisition_skew,pose_history_start_stamp,pose_history_end_stamp,approach_phase,distance_bin,motion_regime,confidence,red_pixel_count,valid_depth_ratio,target_range,view_angle,position_x,position_y,position_z,covariance_xx,covariance_yy,covariance_zz,truth_x,truth_y,truth_z,error_x,error_y,error_z,horizontal_error,position_3d_error,observation_age
1790061713.6527314,1790061713.7094998,1790061714.106303,1790061714.106303,front_rgbd_red_sphere,False,False,True,POSE_UNAVAILABLE,40.552,40.652,1790061713.608028,1790061713.7094998,1790061713.6027315,1790061713.7027314,0.10000000000000142,1790061714.0510018,1790061714.090894,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,61.331441616888824,-12.569219540516409,0.015413995992142876,nan,nan,nan,nan,nan,0.05676841735839844
1790061713.7007315,1790061713.7556238,1790061714.205376,1790061714.205376,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,40.6,40.7,1790061713.6539845,1790061713.7556238,1790061713.6507313,1790061713.7507315,0.10000000000000142,-inf,inf,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05489230155944824
1790061713.7527313,1790061713.8068955,1790061714.3066123,1790061714.3066123,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,40.652,40.752,1790061713.7087133,1790061713.8068955,1790061713.7027314,1790061713.8027315,0.10000000000000142,1790061714.2110326,1790061714.2910326,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05416417121887207
1790061713.8007314,1790061713.8534405,1790061714.4048498,1790061714.4048498,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,40.7,40.8,1790061713.7568932,1790061713.8534405,1790061713.7507315,1790061713.8507314,0.09999999999999432,1790061714.3723354,1790061714.3884456,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.052709102630615234
1790061713.9007313,1790061713.9515622,1790061714.505048,1790061714.505048,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,40.8,40.9,1790061713.8549454,1790061713.9515622,1790061713.8507314,1790061713.9507315,0.10000000000000142,1790061714.3723354,1790061714.490858,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.050830841064453125
1790061714.0007315,1790061714.052968,1790061714.6045616,1790061714.6045616,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,40.9,41.0,1790061713.9527144,1790061714.052968,1790061713.9507315,1790061714.0507314,0.10000000000000142,-inf,inf,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05223655700683594
1790061714.2007315,1790061714.2533712,1790061714.7048864,1790061714.7048864,front_rgbd_red_sphere,False,False,True,POSE_UNAVAILABLE,41.1,41.2,1790061714.159233,1790061714.2533712,1790061714.1507313,1790061714.2507315,0.10000000000000142,1790061714.611106,1790061714.6909552,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,63.04221418554754,-13.938048036224878,-0.026002576186984802,nan,nan,nan,nan,nan,0.05263972282409668
1790061714.2527313,1790061714.3082333,1790061714.8046825,1790061714.8046825,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,41.152,41.252,1790061714.2083657,1790061714.3082333,1790061714.2027314,1790061714.3027315,0.10000000000000142,1790061714.611106,1790061714.786955,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05550193786621094
1790061714.3507314,1790061714.3672867,1790061714.907728,1790061714.907728,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,41.3,41.3,1790061714.3672867,1790061714.3629353,1790061714.3507314,1790061714.3507314,0.0,1790061714.611106,1790061714.8909216,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.016555309295654297
1790061714.4027314,1790061714.4057686,1790061715.0056255,1790061715.0056255,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,41.352,41.352,1790061714.4057686,1790061714.4021568,1790061714.4027314,1790061714.4027314,0.0,1790061714.611106,1790061714.9864683,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0030372142791748047
