time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,prediction_model,estimated_turn_rate,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,t_go,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
8.295567,0.032807,0.034007,-3.589947,-0.007702,-0.005695,-1.306330,45.892538,13.200919,0.074066,3.905273,-3.122313,0.209938,CTRV,-0.078244,47.852978,47.712498,3.664014,73.409305,-15.784901,1.753574,8.000000,-0.007702,-0.005695,-1.306330,0.000000,0.000000,0.000000,0.003858,-0.014888,1.559988,0,takeoff,,47.852978,5.227213,-3.008536,0,,,
8.345732,0.030538,0.033881,-3.662393,-0.007433,-0.006541,-1.211654,46.090717,13.041239,0.084266,3.894271,-3.136025,0.200899,CTRV,-0.076534,48.008009,47.861587,3.746659,73.593305,-15.960008,1.691455,8.000000,-0.007433,-0.006541,-1.211654,0.000000,0.000000,0.000000,0.003905,-0.013132,1.440058,0,takeoff,,48.008009,5.197333,-3.005733,0,,,
8.395230,0.029057,0.033835,-3.704603,-0.007110,-0.007165,-1.156542,46.284359,12.884114,0.093734,3.883501,-3.149352,0.190620,CTRV,-0.074410,48.157138,48.007110,3.798337,73.796616,-16.110351,1.618695,8.000000,-0.007110,-0.007165,-1.156542,0.000000,0.000000,0.000000,0.006505,-0.013419,1.362945,0,takeoff,,48.157138,5.179289,-3.004754,0,,,
8.445485,0.026796,0.033901,-3.759871,-0.006595,-0.007651,-1.084599,46.477290,12.726498,0.102618,3.872959,-3.162308,0.179166,CTRV,-0.072598,48.308066,48.153405,3.862488,73.985674,-16.273628,1.535949,8.000000,-0.006595,-0.007651,-1.084599,0.000000,0.000000,0.000000,0.010297,-0.008382,1.250699,0,takeoff,,48.308066,5.157509,-3.002556,0,,,
8.495603,0.025130,0.033925,-3.797094,-0.006146,-0.008154,-1.036979,46.670018,12.568004,0.110886,3.862640,-3.174903,0.166608,CTRV,-0.070688,48.457415,48.299573,3.907980,74.181929,-16.430816,1.443751,8.000000,-0.006146,-0.008154,-1.036979,0.000000,0.000000,0.000000,0.013815,-0.012696,1.166902,0,takeoff,,48.457415,5.142415,-3.002026,0,,,
8.545327,0.022499,0.033724,-3.853088,-0.005369,-0.008926,-0.966284,46.863871,12.407550,0.118538,3.852542,-3.187150,0.153023,CTRV,-0.068957,48.610694,48.448176,3.971626,74.372516,-16.596171,1.342719,8.000000,-0.005369,-0.008926,-0.966284,0.000000,0.000000,0.000000,0.015246,-0.011480,1.071026,0,takeoff,,48.610694,5.122248,-2.999926,0,,,
8.595525,0.020986,0.033472,-3.886140,-0.004710,-0.009458,-0.925695,47.054655,12.248641,0.125358,3.842659,-3.199058,0.138494,CTRV,-0.067143,48.759291,48.593995,4.011497,74.566538,-16.753850,1.233307,8.000000,-0.004710,-0.009458,-0.925695,0.000000,0.000000,0.000000,0.016721,-0.011878,1.002076,0,takeoff,,48.759291,5.109628,-2.999703,0,,,
8.645016,0.019226,0.032848,-3.930000,-0.003388,-0.010434,-0.872909,47.246343,12.088002,0.131459,3.832988,-3.210639,0.123111,CTRV,-0.065492,48.910354,48.741433,4.061459,74.755342,-16.918857,1.116345,8.000000,-0.003388,-0.010434,-0.872909,0.000000,0.000000,0.000000,0.023701,-0.018064,0.913624,0,takeoff,,48.910354,5.094227,-2.998288,0,,,
8.695017,0.018311,0.032207,-3.959800,-0.002089,-0.011162,-0.837754,47.436456,11.927733,0.136718,3.823526,-3.221901,0.106969,CTRV,-0.063727,49.058796,48.887463,4.096518,74.950599,-17.075948,0.992470,8.000000,-0.002089,-0.011162,-0.837754,0.000000,0.000000,0.000000,0.032481,-0.018490,0.862904,0,takeoff,,49.058796,5.082979,-2.998040,0,,,
8.745133,0.017518,0.031001,-4.005154,0.000631,-0.012485,-0.785561,47.628162,11.765179,0.141191,3.814268,-3.232856,0.090168,CTRV,-0.062202,49.210329,49.035337,4.146345,75.137277,-17.244703,0.862533,8.000000,0.000631,-0.012485,-0.785561,0.000000,0.000000,0.000000,0.043705,-0.021105,0.790626,0,takeoff,,49.210329,5.067694,-2.995558,0,,,
