time,uav_x,uav_y,uav_z,uav_vx,uav_vy,target_x,target_y,target_vx,target_vy,distance,intercept_x,intercept_y,t_go,uav_vz,target_z,target_vz,horizontal_distance,vertical_error,intercept_z,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason
59.193055,18.498955,348.470856,-4.999265,0.335154,7.687357,20.000000,380.881208,0.000000,5.000000,32.834261,20.000000,420.881208,8.000000,-0.001962,0.041029,0.229109,32.445094,5.040294,1.873903,0.347309,7.692163,-0.000735,0.031750,-0.001430,0.004063,0.013160,-0.016292,0.001167,0,follow,,32.834261,2.718016,2.632513,0,,
59.243000,18.512806,348.776703,-4.999438,0.335792,7.686892,20.000000,381.131207,0.000000,5.000000,32.780255,20.000000,421.131207,8.000000,-0.001999,0.052233,0.224087,32.388666,5.051671,1.844932,0.345677,7.692237,-0.000562,-0.032625,0.001470,0.003452,0.016461,-0.011981,-0.002417,0,follow,,32.780255,2.717215,2.632387,0,,
59.293593,18.532307,349.204865,-4.999629,0.336564,7.686399,20.000000,381.383218,0.000000,5.000000,32.607251,20.000000,421.383218,8.000000,-0.001812,0.063202,0.217684,32.211808,5.062832,1.804674,0.346075,7.692219,-0.000371,0.007946,-0.000357,0.003834,0.012835,-0.008225,0.005459,0,follow,,32.607251,2.716283,2.632132,0,,
59.342880,18.546375,349.510651,-4.999673,0.337068,7.686010,20.000000,381.631249,0.000000,5.000000,32.551253,20.000000,421.631249,8.000000,-0.001645,0.073609,0.209938,32.153473,5.073282,1.753117,0.344409,7.692294,-0.000327,-0.033314,0.001495,0.000868,0.015413,-0.007212,-0.000520,0,follow,,32.551253,2.715333,2.632550,0,,
59.393270,18.569067,349.999786,-4.999722,0.338205,7.685480,20.000000,381.881977,0.000000,5.000000,32.316600,20.000000,421.881977,8.000000,-0.001431,0.083678,0.200899,31.914286,5.083400,1.690866,0.345820,7.692230,-0.000278,0.028209,-0.001266,0.000992,0.017367,-0.006417,-0.000243,0,follow,,32.316600,2.714244,2.632529,0,,
59.442902,18.583378,350.305450,-4.999637,0.338893,7.685049,20.000000,382.129991,0.000000,5.000000,32.260571,20.000000,422.129991,8.000000,-0.001307,0.093124,0.190620,31.856054,5.092761,1.618085,0.344050,7.692310,-0.000363,-0.035399,0.001587,-0.001707,0.017388,-0.009040,0.001143,0,follow,,32.260571,2.713148,2.633341,0,,
59.493045,18.603441,350.733398,-4.999492,0.339649,7.684585,20.000000,382.381253,0.000000,5.000000,32.086813,20.000000,422.381253,8.000000,-0.001147,0.102120,0.179166,31.678654,5.101613,1.535452,0.344319,7.692298,-0.000508,0.005386,-0.000241,-0.002899,0.014065,-0.010341,-0.005176,0,follow,,32.086813,2.711987,2.633973,0,,
59.543162,18.617840,351.039124,-4.999329,0.340106,7.684408,20.000000,382.631159,0.000000,5.000000,32.032433,20.000000,422.631159,8.000000,-0.001013,0.110436,0.166608,31.622256,5.109765,1.443301,0.342430,7.692382,-0.000671,-0.037769,0.001686,-0.003271,0.011457,-0.007361,0.004204,0,follow,,32.032433,2.711054,2.635438,0,,
59.592915,18.640892,351.528473,-4.999050,0.340800,7.684345,20.000000,382.880166,0.000000,5.000000,31.795605,20.000000,422.880166,8.000000,-0.000973,0.118045,0.153023,31.381138,5.117094,1.342225,0.343833,7.692319,-0.000950,0.028053,-0.001251,-0.005579,0.011127,0.000437,0.001678,0,follow,,31.795605,2.710271,2.636652,0,,
59.642868,18.655306,351.834473,-4.998796,0.341353,7.684649,20.000000,383.130615,0.000000,5.000000,31.741294,20.000000,423.130615,8.000000,-0.000793,0.124970,0.138494,31.325018,5.123766,1.232920,0.341881,7.692406,-0.001204,-0.039047,0.001740,-0.005074,0.014798,0.007490,0.004382,0,follow,,31.741294,2.709846,2.638976,0,,
