measurement_stamp,receipt_stamp,processed_stamp,published_stamp,source,valid,observation_valid,truth_available,rejection_reason,rgb_raw_stamp,depth_raw_stamp,rgb_receipt_stamp,depth_receipt_stamp,rgb_mapped_stamp,depth_mapped_stamp,rgb_depth_acquisition_skew,pose_history_start_stamp,pose_history_end_stamp,position_source_stamp,position_mapped_stamp,attitude_source_stamp,attitude_mapped_stamp,position_history_start_stamp,position_history_end_stamp,attitude_history_start_stamp,attitude_history_end_stamp,image_clock_offset,px4_clock_offset,px4_clock_reset_count,px4_clock_calibration_count,px4_clock_recalibration_count,px4_clock_status,approach_phase,distance_bin,motion_regime,confidence,red_pixel_count,valid_depth_ratio,target_range,view_angle,position_x,position_y,position_z,covariance_xx,covariance_yy,covariance_zz,truth_x,truth_y,truth_z,error_x,error_y,error_z,horizontal_error,position_3d_error,observation_age
0.0,1790079257.2264163,1790079257.2903888,1790079257.2903888,front_rgbd_red_sphere,False,False,False,IMAGE_CLOCK_UNCALIBRATED,61.552,61.5,1790079257.2264163,1790079257.178485,nan,nan,0.0519999999999996,1790079256.1190798,1790079257.1315398,1790079257.1315398,1790079257.1315398,1790079257.1315398,1790079257.1315398,1790079256.1190798,1790079257.1315398,1790079256.1190798,1790079257.1315398,nan,0.0,2,1,0,DIRECT_TIMESTAMP,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1790079257.3496356,1790079257.388516,1790079257.388516,front_rgbd_red_sphere,False,False,False,IMAGE_CLOCK_UNCALIBRATED,61.652,61.552,1790079257.3496356,1790079257.2242281,nan,nan,0.10000000000000142,1790079256.20754,1790079257.2195399,1790079257.2195399,1790079257.2195399,1790079257.2235398,1790079257.2235398,1790079256.20754,1790079257.2195399,1790079256.20754,1790079257.2235398,nan,0.0,2,1,0,DIRECT_TIMESTAMP,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1790079257.4428706,1790079257.4884338,1790079257.4884338,front_rgbd_red_sphere,False,False,False,IMAGE_CLOCK_UNCALIBRATED,61.752,61.7,1790079257.4428706,1790079257.3909657,nan,nan,0.0519999999999996,1790079256.30754,1790079257.32354,1790079257.32354,1790079257.32354,1790079257.32354,1790079257.32354,1790079256.30354,1790079257.32354,1790079256.30754,1790079257.32354,nan,0.0,2,1,0,DIRECT_TIMESTAMP,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1790079257.557653,1790079257.5887146,1790079257.5887146,front_rgbd_red_sphere,False,False,False,IMAGE_CLOCK_UNCALIBRATED,61.852,61.8,1790079257.557653,1790079257.4985447,nan,nan,0.0519999999999996,1790079256.39954,1790079257.40354,1790079257.40354,1790079257.40354,1790079257.40354,1790079257.40354,1790079256.39954,1790079257.40354,1790079256.3915398,1790079257.40354,nan,0.0,2,1,0,DIRECT_TIMESTAMP,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1790079257.643662,1790079257.6885495,1790079257.6885495,front_rgbd_red_sphere,False,False,False,IMAGE_CLOCK_UNCALIBRATED,61.952,61.9,1790079257.643662,1790079257.5945752,nan,nan,0.0519999999999996,1790079256.5035398,1790079257.50754,1790079257.50754,1790079257.50754,1790079257.50754,1790079257.50754,1790079256.5035398,1790079257.50754,1790079256.5035398,1790079257.50754,nan,0.0,2,1,0,DIRECT_TIMESTAMP,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1790079257.7491405,1790079257.7890906,1790079257.7890906,front_rgbd_red_sphere,False,False,False,IMAGE_CLOCK_UNCALIBRATED,62.052,61.952,1790079257.7491405,1790079257.6414149,nan,nan,0.10000000000000142,1790079256.59954,1790079257.60354,1790079257.60354,1790079257.60354,1790079257.60354,1790079257.60354,1790079256.59954,1790079257.60354,1790079256.59954,1790079257.60354,nan,0.0,2,1,0,DIRECT_TIMESTAMP,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1790079257.8496463,1790079257.888575,1790079257.888575,front_rgbd_red_sphere,False,False,False,IMAGE_CLOCK_UNCALIBRATED,62.152,62.152,1790079257.8496463,1790079257.8470654,nan,nan,0.0,1790079256.69954,1790079257.69954,1790079257.69954,1790079257.69954,1790079257.7035398,1790079257.7035398,1790079256.69554,1790079257.69954,1790079256.69954,1790079257.7035398,nan,0.0,2,1,0,DIRECT_TIMESTAMP,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1790079257.943102,1790079257.9888527,1790079257.9888527,front_rgbd_red_sphere,False,False,False,IMAGE_CLOCK_UNCALIBRATED,62.252,62.252,1790079257.943102,1790079257.9410095,nan,nan,0.0,1790079256.78754,1790079257.80354,1790079257.80354,1790079257.80354,1790079257.80354,1790079257.80354,1790079256.78754,1790079257.80354,1790079256.78754,1790079257.80354,nan,0.0,2,1,0,DIRECT_TIMESTAMP,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1790079257.995106,1790079258.088713,1790079258.088713,front_rgbd_red_sphere,False,False,False,IMAGE_CLOCK_UNCALIBRATED,62.3,62.3,1790079257.995106,1790079257.9917586,nan,nan,0.0,1790079256.8875399,1790079257.89954,1790079257.89954,1790079257.89954,1790079257.90354,1790079257.90354,1790079256.88354,1790079257.89954,1790079256.8875399,1790079257.90354,nan,0.0,2,1,0,DIRECT_TIMESTAMP,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1790079258.1454535,1790079258.1887457,1790079258.1887457,front_rgbd_red_sphere,False,False,False,IMAGE_CLOCK_UNCALIBRATED,62.4,62.452,1790079258.1071026,1790079258.1454535,nan,nan,0.0519999999999996,1790079256.98754,1790079257.99554,1790079257.99554,1790079257.99554,1790079257.9995399,1790079257.9995399,1790079256.98754,1790079257.99554,1790079256.98754,1790079257.9995399,nan,0.0,2,1,0,DIRECT_TIMESTAMP,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
