measurement_stamp,receipt_stamp,processed_stamp,published_stamp,source,valid,rejection_reason,approach_phase,distance_bin,motion_regime,confidence,red_pixel_count,valid_depth_ratio,target_range,view_angle,position_x,position_y,position_z,covariance_xx,covariance_yy,covariance_zz,truth_x,truth_y,truth_z,error_x,error_y,error_z,horizontal_error,position_3d_error,observation_age
0.0,1789956407.7232454,1789956407.7560334,1789956407.7560334,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956407.7232454
0.0,1789956407.8301506,1789956407.855602,1789956407.855602,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956407.8301506
0.0,1789956407.9238355,1789956407.9555566,1789956407.9555566,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956407.9238355
0.0,1789956408.0444305,1789956408.05697,1789956408.05697,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956408.0444305
0.0,1789956408.129591,1789956408.1555028,1789956408.1555028,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956408.129591
0.0,1789956408.2323709,1789956408.2555826,1789956408.2555826,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956408.2323709
0.0,1789956408.3312187,1789956408.3556075,1789956408.3556075,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956408.3312187
0.0,1789956408.4333308,1789956408.4555962,1789956408.4555962,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956408.4333308
0.0,1789956408.528864,1789956408.555598,1789956408.555598,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956408.528864
0.0,1789956408.6334789,1789956408.6555738,1789956408.6555738,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956408.6334789
