time,uav_x,uav_y,uav_z,uav_vx,uav_vy,target_x,target_y,target_vx,target_vy,distance,intercept_x,intercept_y,t_go,uav_vz,target_z,target_vz,horizontal_distance,vertical_error,intercept_z,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase
1.472537,0.023265,-0.017021,-0.013344,0.005155,-0.002418,20.000000,22.646905,0.000000,1.000000,30.211317,20.000000,27.011834,4.364929,0.006470,0.000000,0.000000,30.211314,0.013344,0.000000,0.005155,-0.002418,0.006470,0.000000,0.000000,0.000000,-0.032207,-0.001557,0.001188,0,takeoff
1.522634,0.021320,-0.017320,-0.013144,0.003865,-0.002481,20.000000,22.696832,0.000000,1.000000,30.250298,20.000000,27.067788,4.370956,0.006307,0.000000,0.000000,30.250295,0.013144,0.000000,0.003865,-0.002481,0.006307,0.000000,0.000000,0.000000,-0.030924,-0.001271,-0.006246,0,takeoff
1.572545,0.018738,-0.017725,-0.012707,0.002252,-0.002708,20.000000,22.746350,0.000000,1.000000,30.289505,20.000000,27.123357,4.377007,0.006221,0.000000,0.000000,30.289502,0.012707,0.000000,0.002252,-0.002708,0.006221,0.000000,0.000000,0.000000,-0.029097,-0.005102,0.005395,0,takeoff
1.622605,0.017024,-0.017906,-0.012263,0.001148,-0.002744,20.000000,22.796581,0.000000,1.000000,30.328539,20.000000,27.179626,4.383045,0.006264,0.000000,0.000000,30.328536,0.012263,0.000000,0.001148,-0.002744,0.006264,0.000000,0.000000,0.000000,-0.027332,0.002862,0.000504,0,takeoff
1.672557,0.014490,-0.017911,-0.011440,-0.000466,-0.002622,20.000000,22.846894,0.000000,1.000000,30.368076,20.000000,27.236040,4.389146,0.006419,0.000000,0.000000,30.368074,0.011440,0.000000,-0.000466,-0.002622,0.006419,0.000000,0.000000,0.000000,-0.025604,0.004603,0.002644,0,takeoff
1.722869,0.013022,-0.017800,-0.010901,-0.001328,-0.002304,20.000000,22.896814,0.000000,1.000000,30.406561,20.000000,27.291915,4.395101,0.006473,0.000000,0.000000,30.406559,0.010901,0.000000,-0.001328,-0.002304,0.006473,0.000000,0.000000,0.000000,-0.019791,0.008531,-0.000551,0,takeoff
1.772446,0.010963,-0.017561,-0.010284,-0.002615,-0.001889,20.000000,22.946785,0.000000,1.000000,30.445408,20.000000,27.347887,4.401102,0.006396,0.000000,0.000000,30.445406,0.010284,0.000000,-0.002615,-0.001889,0.006396,0.000000,0.000000,0.000000,-0.023470,0.008400,-0.001910,0,takeoff
1.822873,0.009441,-0.017323,-0.009866,-0.003743,-0.001648,20.000000,22.997104,0.000000,1.000000,30.484199,20.000000,27.404205,4.407102,0.006505,0.000000,0.000000,30.484197,0.009866,0.000000,-0.003743,-0.001648,0.006505,0.000000,0.000000,0.000000,-0.024742,0.007274,0.003087,0,takeoff
1.872631,0.006956,-0.016819,-0.009236,-0.005194,-0.001156,20.000000,23.046783,0.000000,1.000000,30.522969,20.000000,27.459865,4.413082,0.006532,0.000000,0.000000,30.522968,0.009236,0.000000,-0.005194,-0.001156,0.006532,0.000000,0.000000,0.000000,-0.019834,0.009841,-0.000210,0,takeoff
1.922898,0.005334,-0.016413,-0.008849,-0.006282,-0.000833,20.000000,23.096952,0.000000,1.000000,30.561649,20.000000,27.516014,4.419061,0.006523,0.000000,0.000000,30.561648,0.008849,0.000000,-0.006282,-0.000833,0.006523,0.000000,0.000000,0.000000,-0.025682,0.009897,-0.001223,0,takeoff
1.973603,0.003130,-0.015854,-0.008330,-0.007804,-0.000340,20.000000,23.147849,0.000000,1.000000,30.601177,20.000000,27.573011,4.425162,0.006423,0.000000,0.000000,30.601176,0.008330,0.000000,-0.007804,-0.000340,0.006423,0.000000,0.000000,0.000000,-0.024247,0.006741,-0.005699,0,takeoff
2.022613,0.001751,-0.015493,-0.007961,-0.008744,-0.000125,20.000000,23.196986,0.000000,1.000000,30.639014,20.000000,27.627999,4.431013,0.006563,0.000000,0.000000,30.639013,0.007961,0.000000,-0.008744,-0.000125,0.006563,0.000000,0.000000,0.000000,-0.022342,0.004489,0.001772,0,takeoff
2.072682,-0.000138,-0.015016,-0.007303,-0.010000,0.000095,20.000000,23.247051,0.000000,1.000000,30.677831,20.000000,27.684058,4.437007,0.006396,0.000000,0.000000,30.677831,0.007303,0.000000,-0.010000,0.000095,0.006396,0.000000,0.000000,0.000000,-0.019453,0.003830,-0.002549,0,takeoff
2.122563,-0.001170,-0.014692,-0.006924,-0.010591,0.000353,20.000000,23.296836,0.000000,1.000000,30.716025,20.000000,27.739753,4.442918,0.006224,0.000000,0.000000,30.716024,0.006924,0.000000,-0.010591,0.000353,0.006224,0.000000,0.000000,0.000000,-0.013936,0.005028,-0.005192,0,takeoff
2.173001,-0.002537,-0.014143,-0.006453,-0.011380,0.000616,20.000000,23.347309,0.000000,1.000000,30.754821,20.000000,27.796225,4.448916,0.006169,0.000000,0.000000,30.754820,0.006453,0.000000,-0.011380,0.000616,0.006169,0.000000,0.000000,0.000000,-0.012625,0.009079,0.002260,0,takeoff
2.222676,-0.003429,-0.013724,-0.006127,-0.011883,0.000850,20.000000,23.396861,0.000000,1.000000,30.792737,20.000000,27.851645,4.454784,0.006247,0.000000,0.000000,30.792737,0.006127,0.000000,-0.011883,0.000850,0.006247,0.000000,0.000000,0.000000,-0.011883,0.003809,-0.000361,0,takeoff
2.272478,-0.004675,-0.013087,-0.005621,-0.012739,0.001131,20.000000,23.446802,0.000000,1.000000,30.831046,20.000000,27.907508,4.460706,0.005982,0.000000,0.000000,30.831046,0.005621,0.000000,-0.012739,0.001131,0.005982,0.000000,0.000000,0.000000,-0.014236,0.004379,-0.008171,0,takeoff
2.322963,-0.005403,-0.012758,-0.005317,-0.013202,0.001081,20.000000,23.497196,0.000000,1.000000,30.869631,20.000000,27.963875,4.466679,0.005990,0.000000,0.000000,30.869630,0.005317,0.000000,-0.013202,0.001081,0.005990,0.000000,0.000000,0.000000,-0.012616,0.000179,0.001181,0,takeoff
2.372726,-0.006383,-0.012390,-0.004923,-0.013800,0.001052,20.000000,23.547064,0.000000,1.000000,30.907980,20.000000,28.019675,4.472611,0.005889,0.000000,0.000000,30.907980,0.004923,0.000000,-0.013800,0.001052,0.005889,0.000000,0.000000,0.000000,-0.008767,-0.000979,-0.001885,0,takeoff
2.422547,-0.007003,-0.012137,-0.004698,-0.014102,0.001021,20.000000,23.596955,0.000000,1.000000,30.946234,20.000000,28.075488,4.478533,0.005911,0.000000,0.000000,30.946234,0.004698,0.000000,-0.014102,0.001021,0.005911,0.000000,0.000000,0.000000,-0.005683,-0.001172,0.002460,0,takeoff
2.472553,-0.007868,-0.011769,-0.004261,-0.014287,0.001207,20.000000,23.646769,0.000000,1.000000,30.984532,20.000000,28.131226,4.484457,0.005736,0.000000,0.000000,30.984532,0.004261,0.000000,-0.014287,0.001207,0.005736,0.000000,0.000000,0.000000,-0.001194,0.006922,-0.003060,0,takeoff
2.522615,-0.008348,-0.011558,-0.003978,-0.014320,0.001166,20.000000,23.696934,0.000000,1.000000,31.023001,20.000000,28.187347,4.490413,0.005839,0.000000,0.000000,31.023000,0.003978,0.000000,-0.014320,0.001166,0.005839,0.000000,0.000000,0.000000,-0.001917,-0.001169,0.001906,0,takeoff
2.572601,-0.008936,-0.011366,-0.003661,-0.014600,0.001088,20.000000,23.746895,0.000000,1.000000,31.061431,20.000000,28.243255,4.496360,0.005772,0.000000,0.000000,31.061430,0.003661,0.000000,-0.014600,0.001088,0.005772,0.000000,0.000000,0.000000,-0.004063,0.001198,0.000086,0,takeoff
2.622743,-0.009355,-0.011288,-0.003391,-0.014718,0.000904,20.000000,23.796919,0.000000,1.000000,31.099920,20.000000,28.299238,4.502319,0.005856,0.000000,0.000000,31.099920,0.003391,0.000000,-0.014718,0.000904,0.005856,0.000000,0.000000,0.000000,-0.001868,-0.003583,0.002166,0,takeoff
2.672941,-0.009990,-0.011270,-0.003029,-0.014975,0.000692,20.000000,23.846973,0.000000,1.000000,31.138649,20.000000,28.355283,4.508310,0.005881,0.000000,0.000000,31.138648,0.003029,0.000000,-0.014975,0.000692,0.005881,0.000000,0.000000,0.000000,-0.003355,-0.005575,-0.000423,0,takeoff
2.722632,-0.010294,-0.011354,-0.002760,-0.014976,0.000311,20.000000,23.896809,0.000000,1.000000,31.177108,20.000000,28.411073,4.514264,0.005942,0.000000,0.000000,31.177108,0.002760,0.000000,-0.014976,0.000311,0.005942,0.000000,0.000000,0.000000,-0.000592,-0.010310,0.000188,0,takeoff
2.772486,-0.010514,-0.011648,-0.002408,-0.014878,-0.000134,20.000000,23.946527,0.000000,1.000000,31.215619,20.000000,28.466754,4.520227,0.005739,0.000000,0.000000,31.215619,0.002408,0.000000,-0.014878,-0.000134,0.005739,0.000000,0.000000,0.000000,0.007267,-0.008208,-0.008921,0,takeoff
2.822569,-0.010581,-0.011938,-0.002113,-0.014735,-0.000525,20.000000,23.996846,0.000000,1.000000,31.254521,20.000000,28.523098,4.526252,0.005683,0.000000,0.000000,31.254521,0.002113,0.000000,-0.014735,-0.000525,0.005683,0.000000,0.000000,0.000000,0.002366,-0.007445,0.002650,0,takeoff
2.872473,-0.010711,-0.012288,-0.001476,-0.014372,-0.001095,20.000000,24.046810,0.000000,1.000000,31.293270,20.000000,28.579061,4.532251,0.005672,0.000000,0.000000,31.293270,0.001476,0.000000,-0.014372,-0.001095,0.005672,0.000000,0.000000,0.000000,0.006913,-0.004994,-0.002091,0,takeoff
2.922564,-0.010815,-0.012352,-0.001117,-0.014286,-0.001250,20.000000,24.096939,0.000000,1.000000,31.331942,20.000000,28.635177,4.538238,0.005666,0.000000,0.000000,31.331942,0.001117,0.000000,-0.014286,-0.001250,0.005666,0.000000,0.000000,0.000000,0.004911,-0.002636,0.000217,0,takeoff
2.973132,-0.010891,-0.012204,-0.000611,-0.014092,-0.001359,20.000000,24.147644,0.000000,1.000000,31.370910,20.000000,28.691915,4.544271,0.005554,0.000000,0.000000,31.370910,0.000611,0.000000,-0.014092,-0.001359,0.005554,0.000000,0.000000,0.000000,0.002552,0.000738,0.000006,0,takeoff
3.022566,-0.010936,-0.011927,-0.000201,-0.013863,-0.001125,20.000000,24.197019,0.000000,1.000000,31.408767,20.000000,28.747150,4.550131,0.005588,0.000000,0.000000,31.408767,0.000201,0.000000,-0.013863,-0.001125,0.005588,0.000000,0.000000,0.000000,0.005578,0.007083,0.003563,0,takeoff
